Date,Time,PM2.5(µg/m3),O3(ppb),Benzene(ppb)
01-Jan-19,0:00,4,36,0
01-Jan-19,1:00,4,35,0
01-Jan-19,2:00,4,35,0
01-Jan-19,3:00,4,31,0
01-Jan-19,4:00,4,34,0
01-Jan-19,5:00,5,34,0
01-Jan-19,6:00,4,34,0
01-Jan-19,7:00,4,32,0
01-Jan-19,8:00,4,31,0
01-Jan-19,9:00,5,32,0
01-Jan-19,10:00,5,29,0
01-Jan-19,11:00,6,30,0
01-Jan-19,12:00,6,29,0
01-Jan-19,13:00,4,34,0
01-Jan-19,14:00,3,35,0
01-Jan-19,15:00,2,35,0
01-Jan-19,16:00,3,31,0
01-Jan-19,17:00,3,31,0
01-Jan-19,18:00,4,32,0
01-Jan-19,19:00,4,29,0.63
01-Jan-19,20:00,4,31,0
01-Jan-19,21:00,4,31,0
01-Jan-19,22:00,4,30,0
01-Jan-19,23:00,4,30,0
02-Jan-19,0:00,4,31,0
02-Jan-19,1:00,3,32,0
02-Jan-19,2:00,3,32,0
02-Jan-19,3:00,3,32,0
02-Jan-19,4:00,2,33,0
02-Jan-19,5:00,3,33,0
02-Jan-19,6:00,3,32,0
02-Jan-19,7:00,3,33,0
02-Jan-19,8:00,3,31,0
02-Jan-19,9:00,3,32,0
02-Jan-19,10:00,3,31,0
02-Jan-19,11:00,3,33,cal
02-Jan-19,12:00,2,36,0
02-Jan-19,13:00,4,38,0
02-Jan-19,14:00,5,38,0
02-Jan-19,15:00,2,37,0
02-Jan-19,16:00,2,37,0
02-Jan-19,17:00,2,38,0
02-Jan-19,18:00,3,37,0
02-Jan-19,19:00,4,36,0
02-Jan-19,20:00,2,37,0
02-Jan-19,21:00,1,37,0
02-Jan-19,22:00,1,34,0
02-Jan-19,23:00,2,26,0
03-Jan-19,0:00,2,27,0
03-Jan-19,1:00,3,29,0.69
03-Jan-19,2:00,3,31,0
03-Jan-19,3:00,3,31,0
03-Jan-19,4:00,3,31,0
03-Jan-19,5:00,3,31,0
03-Jan-19,6:00,3,31,0
03-Jan-19,7:00,3,31,0
03-Jan-19,8:00,4,30,0
03-Jan-19,9:00,4,33,0
03-Jan-19,10:00,4,33,0
03-Jan-19,11:00,4,34,0.93
03-Jan-19,12:00,4,34,0.88
03-Jan-19,13:00,5,32,0
03-Jan-19,14:00,5,34,0
03-Jan-19,15:00,4,32,0.86
03-Jan-19,16:00,5,24,0
03-Jan-19,17:00,5,Down,1.17
03-Jan-19,18:00,6,Down,2.56
03-Jan-19,19:00,8,Down,0.87
03-Jan-19,20:00,5,Down,0
03-Jan-19,21:00,5,Down,0
03-Jan-19,22:00,5,Down,0
03-Jan-19,23:00,5,Down,0
04-Jan-19,0:00,4,Down,0
04-Jan-19,1:00,4,Down,0
04-Jan-19,2:00,5,Down,0
04-Jan-19,3:00,6,Down,0
04-Jan-19,4:00,5,Down,0
04-Jan-19,5:00,5,Down,0
04-Jan-19,6:00,5,Down,0
04-Jan-19,7:00,5,Down,0
04-Jan-19,8:00,5,Down,0
04-Jan-19,9:00,5,Down,0
04-Jan-19,10:00,5,Down,0
04-Jan-19,11:00,6,Down,0
04-Jan-19,12:00,6,Down,0
04-Jan-19,13:00,7,Down,0
04-Jan-19,14:00,7,Down,0
04-Jan-19,15:00,8,Down,0
04-Jan-19,16:00,8,Down,0
04-Jan-19,17:00,9,Down,0
04-Jan-19,18:00,9,Down,0
04-Jan-19,19:00,10,Down,0
04-Jan-19,20:00,11,Down,0
04-Jan-19,21:00,12,Down,0
04-Jan-19,22:00,12,Down,0
04-Jan-19,23:00,13,Down,0
05-Jan-19,0:00,17,Down,0
05-Jan-19,1:00,14,Down,0
05-Jan-19,2:00,14,Down,0
05-Jan-19,3:00,13,Down,0
05-Jan-19,4:00,16,Down,0
05-Jan-19,5:00,15,Down,0
05-Jan-19,6:00,17,Down,0
05-Jan-19,7:00,15,Down,0
05-Jan-19,8:00,16,Down,0
05-Jan-19,9:00,17,Down,0
05-Jan-19,10:00,18,Down,0
05-Jan-19,11:00,16,Down,0
05-Jan-19,12:00,15,Down,0
05-Jan-19,13:00,20,Down,0
05-Jan-19,14:00,22,Down,0
05-Jan-19,15:00,26,Down,0
05-Jan-19,16:00,26,Down,0
05-Jan-19,17:00,24,Down,0
05-Jan-19,18:00,23,Down,0
05-Jan-19,19:00,23,Down,0
05-Jan-19,20:00,20,Down,0
05-Jan-19,21:00,9,Down,0
05-Jan-19,22:00,7,Down,0
05-Jan-19,23:00,2,Down,0
06-Jan-19,0:00,3,Down,1.14
06-Jan-19,1:00,1,Down,0
06-Jan-19,2:00,1,Down,0
06-Jan-19,3:00,1,Down,0
06-Jan-19,4:00,1,Down,0
06-Jan-19,5:00,1,Down,0
06-Jan-19,6:00,1,Down,0
06-Jan-19,7:00,1,Down,0
06-Jan-19,8:00,1,Down,0
06-Jan-19,9:00,2,Down,1.4
06-Jan-19,10:00,2,Down,1.43
06-Jan-19,11:00,4,Down,1.07
06-Jan-19,12:00,4,Down,0.8
06-Jan-19,13:00,4,Down,1.41
06-Jan-19,14:00,3,Down,0.95
06-Jan-19,15:00,4,Down,0.72
06-Jan-19,16:00,3,Down,0.92
06-Jan-19,17:00,3,Down,1.18
06-Jan-19,18:00,3,Down,1.12
06-Jan-19,19:00,3,Down,0.83
06-Jan-19,20:00,4,Down,0.88
06-Jan-19,21:00,6,Down,0.89
06-Jan-19,22:00,5,Down,0.98
06-Jan-19,23:00,6,Down,0
07-Jan-19,0:00,7,Down,0
07-Jan-19,1:00,6,Down,0
07-Jan-19,2:00,6,Down,0
07-Jan-19,3:00,6,Down,0
07-Jan-19,4:00,7,Down,0
07-Jan-19,5:00,7,Down,0
07-Jan-19,6:00,7,Down,0
07-Jan-19,7:00,7,Down,0
07-Jan-19,8:00,7,Down,0
07-Jan-19,9:00,7,Down,0
07-Jan-19,10:00,7,Down,0
07-Jan-19,11:00,7,Down,0
07-Jan-19,12:00,7,Down,0
07-Jan-19,13:00,7,Down,0
07-Jan-19,14:00,7,Down,0
07-Jan-19,15:00,8,Down,0
07-Jan-19,16:00,8,Down,0
07-Jan-19,17:00,8,Down,0
07-Jan-19,18:00,7,Down,0
07-Jan-19,19:00,7,Down,0
07-Jan-19,20:00,7,Down,0
07-Jan-19,21:00,7,Down,0
07-Jan-19,22:00,6,Down,0
07-Jan-19,23:00,6,Down,0
08-Jan-19,0:00,6,Down,0
08-Jan-19,1:00,6,Down,0
08-Jan-19,2:00,6,Down,0
08-Jan-19,3:00,6,Down,0
08-Jan-19,4:00,6,Down,0
08-Jan-19,5:00,7,Down,0
08-Jan-19,6:00,7,Down,0
08-Jan-19,7:00,8,Down,0
08-Jan-19,8:00,9,Down,0
08-Jan-19,9:00,9,Down,0
08-Jan-19,10:00,9,Down,0
08-Jan-19,11:00,9,Down,cal
08-Jan-19,12:00,9,23,0
08-Jan-19,13:00,10,24,0
08-Jan-19,14:00,10,23,0
08-Jan-19,15:00,10,22,0
08-Jan-19,16:00,9,21,0
08-Jan-19,17:00,10,18,0
08-Jan-19,18:00,11,16,0
08-Jan-19,19:00,13,8,0
08-Jan-19,20:00,13,5,0
08-Jan-19,21:00,14,2,0
08-Jan-19,22:00,15,1,0.8
08-Jan-19,23:00,16,1,2.69
09-Jan-19,0:00,16,1,1.35
09-Jan-19,1:00,15,4,6.74
09-Jan-19,2:00,17,1,11.92
09-Jan-19,3:00,17,1,5.52
09-Jan-19,4:00,21,1,8.96
09-Jan-19,5:00,28,1,12.65
09-Jan-19,6:00,30,1,10.55
09-Jan-19,7:00,21,1,9.9
09-Jan-19,8:00,20,2,5.35
09-Jan-19,9:00,21,6,3.35
09-Jan-19,10:00,17,17,2.24
09-Jan-19,11:00,13,28,1.91
09-Jan-19,12:00,13,29,1.05
09-Jan-19,13:00,13,32,0.77
09-Jan-19,14:00,13,33,0.62
09-Jan-19,15:00,13,29,0
09-Jan-19,16:00,12,28,0
09-Jan-19,17:00,10,28,0
09-Jan-19,18:00,11,28,0
09-Jan-19,19:00,12,29,0
09-Jan-19,20:00,15,25,0
09-Jan-19,21:00,17,25,0
09-Jan-19,22:00,16,26,0
09-Jan-19,23:00,15,23,0
10-Jan-19,0:00,16,21,0
10-Jan-19,1:00,17,18,0
10-Jan-19,2:00,18,13,0
10-Jan-19,3:00,19,11,0
10-Jan-19,4:00,20,10,0
10-Jan-19,5:00,19,10,0
10-Jan-19,6:00,18,12,1.33
10-Jan-19,7:00,17,15,1.03
10-Jan-19,8:00,19,14,0
10-Jan-19,9:00,27,14,0
10-Jan-19,10:00,35,18,0
10-Jan-19,11:00,32,20,0
10-Jan-19,12:00,18,24,0
10-Jan-19,13:00,16,26,0
10-Jan-19,14:00,14,26,0.75
10-Jan-19,15:00,16,22,0
10-Jan-19,16:00,14,19,1.32
10-Jan-19,17:00,14,16,0
10-Jan-19,18:00,12,19,0
10-Jan-19,19:00,15,16,0
10-Jan-19,20:00,17,15,0
10-Jan-19,21:00,15,14,0
10-Jan-19,22:00,9,17,0
10-Jan-19,23:00,10,20,0
11-Jan-19,0:00,5,20,0
11-Jan-19,1:00,4,19,0.92
11-Jan-19,2:00,6,22,0
11-Jan-19,3:00,12,22,0
11-Jan-19,4:00,26,20,0
11-Jan-19,5:00,14,20,0
11-Jan-19,6:00,16,16,0
11-Jan-19,7:00,13,14,0
11-Jan-19,8:00,12,17,0
11-Jan-19,9:00,7,20,0
11-Jan-19,10:00,7,18,0
11-Jan-19,11:00,3,20,0
11-Jan-19,12:00,2,17,0
11-Jan-19,13:00,4,11,0.88
11-Jan-19,14:00,4,16,1.07
11-Jan-19,15:00,4,19,1.28
11-Jan-19,16:00,4,18,7.26
11-Jan-19,17:00,3,16,3.15
11-Jan-19,18:00,5,16,1.52
11-Jan-19,19:00,6,17,0.9
11-Jan-19,20:00,8,21,5.86
11-Jan-19,21:00,7,24,3.26
11-Jan-19,22:00,8,24,3.14
11-Jan-19,23:00,10,23,3.18
12-Jan-19,0:00,12,22,1.46
12-Jan-19,1:00,14,21,18.24
12-Jan-19,2:00,14,21,4.26
12-Jan-19,3:00,14,24,2.97
12-Jan-19,4:00,8,26,1.51
12-Jan-19,5:00,6,28,0.99
12-Jan-19,6:00,7,28,7.47
12-Jan-19,7:00,9,30,5.78
12-Jan-19,8:00,11,30,13
12-Jan-19,9:00,11,28,4.22
12-Jan-19,10:00,10,30,2.32
12-Jan-19,11:00,10,30,1.53
12-Jan-19,12:00,11,32,1.03
12-Jan-19,13:00,14,32,0.76
12-Jan-19,14:00,15,31,0
12-Jan-19,15:00,16,28,0
12-Jan-19,16:00,16,27,0
12-Jan-19,17:00,12,27,0
12-Jan-19,18:00,12,25,0
12-Jan-19,19:00,10,26,0
12-Jan-19,20:00,11,26,0
12-Jan-19,21:00,13,24,0
12-Jan-19,22:00,17,18,0
12-Jan-19,23:00,17,17,0
13-Jan-19,0:00,16,14,0
13-Jan-19,1:00,14,16,0
13-Jan-19,2:00,12,18,0
13-Jan-19,3:00,10,18,0
13-Jan-19,4:00,7,20,0
13-Jan-19,5:00,5,20,0
13-Jan-19,6:00,4,19,0
13-Jan-19,7:00,4,19,0
13-Jan-19,8:00,4,18,0
13-Jan-19,9:00,3,19,0
13-Jan-19,10:00,3,20,0
13-Jan-19,11:00,3,22,cal
13-Jan-19,12:00,3,21,cal
13-Jan-19,13:00,3,20,0
13-Jan-19,14:00,3,23,0
13-Jan-19,15:00,3,22,0
13-Jan-19,16:00,4,21,0
13-Jan-19,17:00,4,19,0
13-Jan-19,18:00,5,21,0
13-Jan-19,19:00,7,21,0
13-Jan-19,20:00,7,20,0
13-Jan-19,21:00,8,19,0
13-Jan-19,22:00,10,15,0
13-Jan-19,23:00,11,15,0
14-Jan-19,0:00,14,20,1.62
14-Jan-19,1:00,18,22,0
14-Jan-19,2:00,17,24,0
14-Jan-19,3:00,16,25,0
14-Jan-19,4:00,15,27,0
14-Jan-19,5:00,13,28,5.92
14-Jan-19,6:00,13,28,11.96
14-Jan-19,7:00,14,26,3.97
14-Jan-19,8:00,15,19,4.08
14-Jan-19,9:00,14,29,8.99
14-Jan-19,10:00,17,29,4.52
14-Jan-19,11:00,21,27,2.7
14-Jan-19,12:00,21,29,1.81
14-Jan-19,13:00,22,24,1.27
14-Jan-19,14:00,21,25,1
14-Jan-19,15:00,23,25,0.7
14-Jan-19,16:00,22,25,0
14-Jan-19,17:00,23,25,0.63
14-Jan-19,18:00,26,23,0
14-Jan-19,19:00,27,21,0
14-Jan-19,20:00,23,22,0
14-Jan-19,21:00,18,23,1.16
14-Jan-19,22:00,14,23,0
14-Jan-19,23:00,12,26,0
15-Jan-19,0:00,16,26,0.72
15-Jan-19,1:00,9,29,0
15-Jan-19,2:00,7,28,0
15-Jan-19,3:00,10,26,0
15-Jan-19,4:00,11,26,0
15-Jan-19,5:00,9,25,0
15-Jan-19,6:00,10,24,0
15-Jan-19,7:00,NoData,NoData,0
15-Jan-19,8:00,NoData,NoData,pwrfail
15-Jan-19,9:00,NoData,NoData,pwrfail
15-Jan-19,10:00,NoData,NoData,down
15-Jan-19,11:00,NoData,NoData,down
15-Jan-19,12:00,8,26,down
15-Jan-19,13:00,2,35,0.79
15-Jan-19,14:00,2,36,0
15-Jan-19,15:00,3,35,0
15-Jan-19,16:00,2,36,0
15-Jan-19,17:00,2,37,0
15-Jan-19,18:00,2,37,0
15-Jan-19,19:00,3,35,0
15-Jan-19,20:00,3,35,0.74
15-Jan-19,21:00,4,34,0
15-Jan-19,22:00,3,36,0.89
15-Jan-19,23:00,4,34,3.51
16-Jan-19,0:00,4,34,1.12
16-Jan-19,1:00,5,31,0
16-Jan-19,2:00,8,27,0
16-Jan-19,3:00,8,26,0
16-Jan-19,4:00,8,26,0
16-Jan-19,5:00,8,26,0
16-Jan-19,6:00,8,25,0
16-Jan-19,7:00,10,25,0
16-Jan-19,8:00,10,26,0
16-Jan-19,9:00,15,24,0
16-Jan-19,10:00,15,24,0
16-Jan-19,11:00,NoData,NoData,0
16-Jan-19,12:00,13,24,0
16-Jan-19,13:00,12,23,0
16-Jan-19,14:00,10,24,0
16-Jan-19,15:00,9,24,0
16-Jan-19,16:00,8,23,0
16-Jan-19,17:00,7,26,0
16-Jan-19,18:00,7,27,0
16-Jan-19,19:00,6,26,0
16-Jan-19,20:00,6,26,0
16-Jan-19,21:00,6,25,0
16-Jan-19,22:00,6,25,0
16-Jan-19,23:00,6,26,0
17-Jan-19,0:00,7,24,0
17-Jan-19,1:00,12,21,0
17-Jan-19,2:00,13,20,0
17-Jan-19,3:00,16,19,0
17-Jan-19,4:00,14,18,0
17-Jan-19,5:00,15,18,0
17-Jan-19,6:00,16,21,0
17-Jan-19,7:00,14,21,0
17-Jan-19,8:00,11,24,0
17-Jan-19,9:00,12,26,0
17-Jan-19,10:00,13,28,0
17-Jan-19,11:00,14,28,0
17-Jan-19,12:00,14,26,0
17-Jan-19,13:00,14,26,0
17-Jan-19,14:00,14,26,0
17-Jan-19,15:00,14,25,0
17-Jan-19,16:00,15,21,0
17-Jan-19,17:00,16,16,0
17-Jan-19,18:00,14,25,0
17-Jan-19,19:00,13,30,0
